Campaign_Name,Id,Status,Date,Amount,Payout,Currency,Sub_Id,Inventory,Partner,Email_Id
Udemy WW,1054497814,pending,5/19/2024 2:24,8.35,0.67,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1054497835,pending,5/18/2024 23:26,7.65,0.61,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1054497903,pending,5/18/2024 20:27,4.88,0.39,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1054497807,pending,5/18/2024 20:23,4.04,0.32,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1054497765,pending,5/18/2024 10:44,4.79,0.38,USD,avb,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1054275876,pending,5/17/2024 23:33,11.3,0.9,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1054275874,pending,5/17/2024 23:33,15.83,1.27,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1054275867,pending,5/17/2024 23:33,11.3,0.9,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Pdffiller Many Geos,1053364310,pending,5/17/2024 17:22,0,0,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Flipkart [CPS] IN,1053364843,pending,5/17/2024 16:56,1899,53.2,INR,gmg,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1054268094,pending,5/17/2024 15:28,18.41,1.48,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1054268084,pending,5/17/2024 15:28,14.96,1.2,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Flipkart [CPS] IN,1053332009,pending,5/17/2024 14:20,305,8.4,INR,gmg,Xocoupon,Admitad,contact@xocoupon.com
Alibaba WW,1053298349,pending,5/17/2024 10:50,14.99,0.8,USD,,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1054268169,pending,5/17/2024 4:32,16.99,1.36,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1053974774,pending,5/17/2024 2:34,11.99,0.96,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1053974770,pending,5/17/2024 2:34,9.99,0.8,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1053974766,pending,5/17/2024 1:35,4.85,0.39,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1053936470,pending,5/16/2024 17:37,9.37,0.75,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Nykaa Beauty [CPS] IN,1053126075,pending,5/16/2024 17:03,959,0,INR,np,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1053936599,pending,5/16/2024 14:27,9.04,0.72,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1053936584,pending,5/16/2024 14:27,9.04,0.72,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1053936572,pending,5/16/2024 14:27,9.04,0.72,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Foot Locker US CA,1052959025,pending,5/16/2024 5:18,65,1.3,USD,,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1053710070,pending,5/16/2024 1:28,7.66,0.61,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1053710067,pending,5/16/2024 1:28,16.21,1.3,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1053710075,pending,5/16/2024 0:25,10.5,0.84,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Radisson Hotel Group many GEOs,1052930323,pending,5/15/2024 23:26,322.6,12.9,EUR,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1053703134,pending,5/15/2024 19:29,14.96,1.2,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1053703098,pending,5/15/2024 18:35,4.02,0.32,USD,avb,Xocoupon,Admitad,contact@xocoupon.com
Pdffiller Many Geos,1052838974,pending,5/15/2024 13:11,96,40,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1053703262,pending,5/15/2024 12:27,4.78,0.38,USD,avb,Xocoupon,Admitad,contact@xocoupon.com
Pdffiller Many Geos,1052811961,pending,5/15/2024 10:12,0,0,USD,aab,Xocoupon,Admitad,contact@xocoupon.com
Pdffiller Many Geos,1052811965,pending,5/15/2024 10:12,0,0,USD,aab,Xocoupon,Admitad,contact@xocoupon.com
Pdffiller Many Geos,1052811960,pending,5/15/2024 10:12,0,0,USD,aab,Xocoupon,Admitad,contact@xocoupon.com
Ancestry US CA UK AU DE,1052809940,pending,5/15/2024 9:41,77.39,2.76,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1053703336,pending,5/15/2024 6:33,9.99,0.8,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1053703318,pending,5/15/2024 6:33,9.99,0.8,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Ancestry US CA UK AU DE,1052707276,pending,5/15/2024 6:15,0,0,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1053560661,pending,5/15/2024 0:30,15.76,1.26,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1053560359,pending,5/15/2024 0:30,10.5,0.84,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Norton [CPS] WW,1052635434,pending,5/14/2024 18:58,20.92,22.4,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1053560260,pending,5/14/2024 16:33,7.75,0.62,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1053560298,pending,5/14/2024 15:27,5.27,0.42,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Pdffiller Many Geos,1052589539,pending,5/14/2024 13:23,0,0,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1053560756,pending,5/14/2024 10:07,10.07,0.8,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1053560636,pending,5/14/2024 10:07,7.55,0.6,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1053321071,pending,5/13/2024 23:28,13.99,1.12,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1053321084,pending,5/13/2024 20:35,4.65,0.37,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Pdffiller Many Geos,1052364017,pending,5/13/2024 19:25,0,0,USD,,Xocoupon,Admitad,contact@xocoupon.com
Pdffiller Many Geos,1052364016,pending,5/13/2024 19:09,0,0,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1053321065,pending,5/13/2024 13:34,4.03,0.32,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1053320977,pending,5/13/2024 11:35,16.15,1.29,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Foot Locker US CA,1052174292,pending,5/13/2024 7:18,43.99,0.88,USD,,Xocoupon,Admitad,contact@xocoupon.com
Foot Locker US CA,1052174290,pending,5/13/2024 6:52,49.99,1,USD,,Xocoupon,Admitad,contact@xocoupon.com
Foot Locker US CA,1052174288,pending,5/13/2024 6:44,80,1.6,USD,,Xocoupon,Admitad,contact@xocoupon.com
Foot Locker US CA,1052174287,pending,5/13/2024 6:36,115,0,USD,,Xocoupon,Admitad,contact@xocoupon.com
Foot Locker US CA,1052167321,pending,5/13/2024 5:13,28,0.57,USD,,Xocoupon,Admitad,contact@xocoupon.com
Ancestry US CA UK AU DE,1052139854,pending,5/12/2024 22:38,49,7,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Ancestry US CA UK AU DE,1051972937,pending,5/12/2024 1:06,0,0,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Flipkart [CPS] IN,1051979292,pending,5/11/2024 22:58,35614,0,INR,gmg,Xocoupon,Admitad,contact@xocoupon.com
Nike [CPS] APAC,1051901866,pending,5/11/2024 14:03,22.68,0.97,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Pdffiller Many Geos,1051896345,pending,5/11/2024 13:00,162.72,40,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Dot&Key [CPS] IN,1051783303,pending,5/11/2024 3:44,865.97,90.93,INR,aab,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1052588927,pending,5/11/2024 1:34,14.58,1.16,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1052589033,pending,5/10/2024 22:34,5.98,0.48,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1052589040,pending,5/10/2024 22:31,16.99,1.36,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Ancestry US CA UK AU DE,1051747605,pending,5/10/2024 21:30,11.49,1.64,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1052588977,pending,5/10/2024 20:31,16.8,1.34,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Nike [CPS] APAC,1051728705,pending,5/10/2024 19:12,52.3,2.24,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Nike [CPS] APAC,1051721484,pending,5/10/2024 17:42,20.14,0.86,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Flipkart [CPS] IN,1051695481,pending,5/10/2024 11:36,265,5.6,INR,gmg,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1052295328,pending,5/9/2024 21:34,19.99,1.6,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1052295254,pending,5/9/2024 18:37,10.58,0.84,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Flipkart [CPS] IN,1051502035,pending,5/9/2024 17:49,1999,42,INR,gmg,Xocoupon,Admitad,contact@xocoupon.com
Nike [CPS] APAC,1051493876,pending,5/9/2024 17:12,151.48,6.49,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Flipkart [CPS] IN,1051495246,pending,5/9/2024 16:48,54999,0,INR,gmg,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1052295190,pending,5/9/2024 13:27,19.34,1.55,USD,avb,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1052295305,pending,5/9/2024 9:27,13.99,1.12,USD,,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1052295299,pending,5/9/2024 9:27,13.99,1.12,USD,,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1052295292,pending,5/9/2024 9:27,13.99,1.12,USD,,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1052295286,pending,5/9/2024 9:27,13.99,1.12,USD,,Xocoupon,Admitad,contact@xocoupon.com
Ancestry US CA UK AU DE,1051323856,pending,5/9/2024 0:57,0,0,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1052068079,pending,5/8/2024 23:33,19.34,1.55,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1052068289,pending,5/8/2024 23:32,5.89,0.47,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1052068272,pending,5/8/2024 23:32,6.88,0.55,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1052068392,pending,5/8/2024 22:33,13.99,1.12,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1052068229,pending,5/8/2024 18:35,5.89,0.47,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1052068395,pending,5/8/2024 18:31,16.12,1.29,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Nike [CPS] APAC,1051268649,pending,5/8/2024 16:47,32.8,1.4,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1052068073,pending,5/8/2024 5:35,27.99,2.24,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1052068094,pending,5/8/2024 5:33,6.88,0.55,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Ancestry US CA UK AU DE,1051076393,pending,5/8/2024 3:11,0,0,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1051895068,pending,5/7/2024 22:30,16.14,1.29,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1051895030,pending,5/7/2024 22:30,16.14,1.29,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Pdffiller Many Geos,1051027723,pending,5/7/2024 21:28,0,0,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1051895143,pending,5/7/2024 19:33,6.87,0.55,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Ancestry US CA UK AU DE,1050950046,pending,5/7/2024 11:34,0,0,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1051895257,pending,5/7/2024 3:33,24.99,2,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Flipkart [CPS] IN,1050592353,pending,5/6/2024 11:11,489,10.5,INR,gmg,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1051464179,pending,5/6/2024 0:29,12.99,1.04,USD,,Xocoupon,Admitad,contact@xocoupon.com
Ancestry US CA UK AU DE,1050442792,pending,5/5/2024 22:02,39,5.57,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1051464140,pending,5/5/2024 21:30,13.99,1.12,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1051464269,pending,5/5/2024 20:30,4.33,0.35,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
The Derma Co [CPS] IN,1050335316,pending,5/5/2024 10:28,805.6,90.88,INR,aab,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1051199449,pending,5/4/2024 11:30,19.99,1.6,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1050958523,pending,5/3/2024 21:32,5.85,0.47,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
EaseUS [CPS] WW,1050042283,pending,5/3/2024 20:43,71.78,21.62,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1050958602,pending,5/3/2024 4:33,21.64,1.73,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1050958646,pending,5/3/2024 3:31,4.87,0.39,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Alibaba WW,1049780825,pending,5/2/2024 22:39,69,3.72,USD,,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1050626132,pending,5/2/2024 22:30,13.99,1.12,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1050626439,pending,5/2/2024 21:30,16.95,1.36,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Pdffiller Many Geos,1049756193,pending,5/2/2024 18:42,0,0,USD,,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1050626178,pending,5/2/2024 18:31,19.17,1.53,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1050626154,pending,5/2/2024 14:33,9.91,0.8,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Vevor Many GEOs,1049615867,pending,5/2/2024 7:19,141.54,7.08,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1050365279,pending,5/2/2024 1:30,20.85,1.67,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1050365474,pending,5/1/2024 20:33,12.79,1.02,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1050365259,pending,5/1/2024 17:31,5.76,0.46,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1050365260,pending,5/1/2024 13:25,22.99,1.84,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1050358073,pending,5/1/2024 4:30,4.79,0.38,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1050358077,pending,5/1/2024 3:32,4.79,0.38,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1050183116,pending,5/1/2024 2:30,5.84,0.47,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1050183073,pending,4/30/2024 22:30,4.86,0.39,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Ancestry US CA UK AU DE,1049303326,pending,4/30/2024 18:58,0,0,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1050183078,pending,4/30/2024 17:36,7.38,0.59,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1050183119,pending,4/30/2024 16:43,14.88,1.19,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1050183083,pending,4/30/2024 15:33,14.83,1.19,USD,,Xocoupon,Admitad,contact@xocoupon.com
Pdffiller Many Geos,1049254105,pending,4/30/2024 13:00,40,40,USD,np,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1050183225,pending,4/30/2024 9:27,11.52,0.92,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1050183118,pending,4/30/2024 5:33,5.84,0.47,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1049935240,pending,4/30/2024 2:34,6.81,0.55,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Ancestry US CA UK AU DE,1049088436,pending,4/30/2024 2:06,0,0,USD,tab,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1049935280,pending,4/30/2024 0:33,12.99,1.04,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Ancestry US CA UK AU DE,1049080217,pending,4/29/2024 23:17,0,0,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1049935277,pending,4/29/2024 17:27,45.75,3.66,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Vevor Many GEOs,1048992712,pending,4/29/2024 13:54,273.33,13.67,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Ancestry US CA UK AU DE,1048870373,pending,4/29/2024 4:27,0,0,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1049702395,pending,4/29/2024 2:26,16.99,1.36,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1049702462,pending,4/29/2024 1:31,6.82,0.55,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1049702494,pending,4/28/2024 21:25,10.46,0.84,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1049702464,pending,4/28/2024 21:25,10.46,0.84,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1049702491,pending,4/28/2024 17:26,5.84,0.47,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1049702485,pending,4/28/2024 17:26,5.84,0.47,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1049702432,pending,4/28/2024 10:26,31.94,2.56,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1049474910,pending,4/27/2024 23:26,6.82,0.55,USD,,Xocoupon,Admitad,contact@xocoupon.com
Nike [CPS] APAC,1048609452,pending,4/27/2024 21:18,88.13,3.77,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Norton [CPS] WW,1048595741,approved,4/27/2024 18:25,37.44,52.5,USD,np,Xocoupon,Admitad,contact@xocoupon.com
Ancestry US CA UK AU DE,1048582119,pending,4/27/2024 16:43,0,0,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Flipkart [CPS] IN,1048533384,pending,4/27/2024 11:27,7999,0,INR,gmg,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1049253247,pending,4/27/2024 2:32,7.68,0.61,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1049253314,pending,4/26/2024 20:48,9.64,0.77,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Flipkart [CPS] IN,1048359063,pending,4/26/2024 18:04,349,0,INR,gmg,Xocoupon,Admitad,contact@xocoupon.com
Flipkart [CPS] IN,1048359038,pending,4/26/2024 18:04,17999,0,INR,gmg,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1049253295,pending,4/26/2024 14:24,15.09,1.2,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1049253285,pending,4/26/2024 14:24,10.78,0.86,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Pdffiller Many Geos,1048289273,pending,4/26/2024 11:27,0,0,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Vevor Many GEOs,1048279284,pending,4/26/2024 10:15,98.61,4.94,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Ancestry US CA UK AU DE,1048279911,pending,4/26/2024 10:09,0,0,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1048986919,pending,4/26/2024 0:32,12.99,1.04,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1048987150,pending,4/25/2024 21:34,5.81,0.47,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Flipkart [CPS] IN,1048114157,pending,4/25/2024 20:50,429,9.1,INR,gmg,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1048987081,pending,4/25/2024 18:31,16.99,1.36,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1048986994,pending,4/25/2024 14:31,13.9,1.11,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1048987033,pending,4/25/2024 14:29,16.18,1.29,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1048987022,pending,4/25/2024 14:29,16.18,1.29,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1048987007,pending,4/25/2024 14:29,16.18,1.29,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Pdffiller Many Geos,1048026862,pending,4/25/2024 12:57,161.28,40,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Ancestry US CA UK AU DE,1047902071,pending,4/25/2024 6:48,24.99,3.57,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1048986945,pending,4/25/2024 5:33,4.84,0.39,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1048986923,pending,4/25/2024 3:33,4.84,0.39,USD,,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1048751014,pending,4/25/2024 1:30,5.83,0.47,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Pdffiller Many Geos,1047829942,pending,4/24/2024 22:18,0,0,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1048751089,pending,4/24/2024 19:31,22.99,1.84,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1048751087,pending,4/24/2024 16:29,12.99,1.04,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Pdffiller Many Geos,1047774256,pending,4/24/2024 14:39,144,40,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1048750976,pending,4/24/2024 12:53,16.04,1.28,USD,,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1048751146,pending,4/24/2024 11:35,27.84,2.23,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1048751135,pending,4/24/2024 11:35,8,0.64,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1048751001,pending,4/24/2024 9:45,3.99,0.32,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1048750980,pending,4/24/2024 9:45,3.99,0.32,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1048751032,pending,4/24/2024 4:28,5.83,0.47,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1048743932,pending,4/24/2024 4:28,5.83,0.47,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1048547939,pending,4/24/2024 1:23,14.84,1.19,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1048547971,pending,4/24/2024 0:29,20.61,1.65,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1048548108,pending,4/23/2024 19:30,4.82,0.39,USD,,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1048548180,pending,4/23/2024 14:28,16.04,1.28,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Pdffiller Many Geos,1047503281,pending,4/23/2024 13:35,96,40,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
The Derma Co [CPS] IN,1047469242,pending,4/23/2024 10:01,578.24,65.23,INR,aab,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1048306710,pending,4/23/2024 1:28,12.99,1.04,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
