Inventory,Campaign_Name,Id,Status,Date,Amount,Payout,Currency,Sub_Id,Partner,Email_Id
Hyzzo,Hostinger,12282.5885.1510410,APPROVED,2024-02-12,107.76,43.10,USD,gmg,Impact,partner@hyyzo.com
Hyzzo,Wondershare Software,15586.5887.605527,APPROVED,2024-02-14,0.00,0.00,USD,gmg,Impact,partner@hyyzo.com
Hyzzo,Wondershare Software,15586.5889.923579,APPROVED,2024-02-16,29.99,9.00,USD,gmg,Impact,partner@hyyzo.com
Hyzzo,Spocket,18571.5889.1284183,APPROVED,2024-02-16,0.00,0.00,USD,gmg,Impact,partner@hyyzo.com
Hyzzo,Spocket,18571.5889.1285550,APPROVED,2024-02-16,0.00,0.00,USD,gmg,Impact,partner@hyyzo.com
Hyzzo,Spocket,18571.5889.1284497,APPROVED,2024-02-16,0.00,0.00,USD,gmg,Impact,partner@hyyzo.com
Hyzzo,Spocket,18571.5890.116941,APPROVED,2024-02-16,0.00,0.00,USD,gmg,Impact,partner@hyyzo.com
Hyzzo,Spocket,18571.5890.116969,APPROVED,2024-02-16,0.00,0.00,USD,gmg,Impact,partner@hyyzo.com
Hyzzo,Wondershare Software,15586.5894.611647,APPROVED,2024-02-21,54.94,16.49,USD,gmg,Impact,partner@hyyzo.com
Hyzzo,Wondershare Software,15586.5896.143176,APPROVED,2024-02-22,35.43,10.63,USD,fs,Impact,partner@hyyzo.com
Hyzzo,ELEGOO,19663.5898.598328,REVERSED,2024-02-25,0.00,0.00,USD,gmg,Impact,partner@hyyzo.com
Hyzzo,Wondershare Software,15586.5900.466349,APPROVED,2024-02-26,69.99,21.00,USD,gmg,Impact,partner@hyyzo.com
Hyzzo,ELEGOO,19663.5903.228902,REVERSED,2024-02-29,0.00,0.00,USD,gmg,Impact,partner@hyyzo.com
Hyzzo,Hostinger,12282.5904.1653528,APPROVED,2024-03-02,140.29,56.11,USD,dyeCTkQvA7q7cyzChIkp,Impact,partner@hyyzo.com
Hyzzo,Surfshark,9043.5909.1072551,APPROVED,2024-03-07,53.13,21.25,USD,gmg,Impact,partner@hyyzo.com
Hyzzo,ELEGOO,19663.5941.412343,APPROVED,2024-04-07,340.30,17.02,USD,gmg,Impact,partner@hyyzo.com
Hyzzo,MacPaw,1733.5944.970057,APPROVED,2024-04-11,71.96,7.20,USD,fs,Impact,partner@hyyzo.com
Hyzzo,Hostinger,12282.5957.127760,PENDING,2024-04-23,38.23,15.29,USD,gmg,Impact,partner@hyyzo.com
Hyzzo,ELEGOO,19663.5959.147030,APPROVED,2024-04-25,77.01,3.85,USD,gmg,Impact,partner@hyyzo.com
Hyzzo,ELEGOO,19663.5963.179337,REVERSED,2024-04-29,0.00,0.00,USD,gmg,Impact,partner@hyyzo.com
Hyzzo,Lenovo India,9634.5976.252090,PENDING,2024-05-12,851.86,59.63,USD,dykKX3Sm1GjFCXRSQxwh,Impact,partner@hyyzo.com
Hyzzo,DigitalOcean,15890.5988.2171578,PENDING,2024-05-26,0.00,0.00,USD,,Impact,partner@hyyzo.com
Technosense Media Private Limited,NordVPN,7452.5843.843594,REVERSED,2023-12-31,12.99,5.2,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,M.9383.5843.1455152,APPROVED,2024-01-01,31.97,0.11,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5843.1416509,APPROVED,2024-01-01,13.0,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5843.1405596,APPROVED,2024-01-01,99.99,3.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5843.1486715,APPROVED,2024-01-01,8.99,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,CASETiFY,3937.5843.1007623,APPROVED,2023-12-31,81.06,4.05,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5843.1418728,APPROVED,2024-01-01,23.84,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5843.1490139,APPROVED,2024-01-01,52.49,1.57,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,M.9383.5843.1406261,APPROVED,2024-01-01,13.94,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5843.1575206,APPROVED,2024-01-01,39.1,1.18,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5843.1431331,APPROVED,2024-01-01,18.85,0.12,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,M.9383.5844.1578937,APPROVED,2024-01-02,178.07,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5844.1620779,APPROVED,2024-01-02,84.32,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5844.1689231,APPROVED,2024-01-02,32.28,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5844.1622825,APPROVED,2024-01-02,99.36,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5844.1585266,APPROVED,2024-01-02,144.97,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5844.1680456,APPROVED,2024-01-02,23.4,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5844.1718950,APPROVED,2024-01-02,153.2,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5844.1805929,APPROVED,2024-01-02,30.34,1.22,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,M.9383.5844.1612437,APPROVED,2024-01-02,147.56,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5844.1754937,APPROVED,2024-01-02,36.99,1.11,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5844.1782293,APPROVED,2024-01-02,5.98,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5844.1721583,APPROVED,2024-01-02,168.58,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5844.1798705,APPROVED,2024-01-02,198.57,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5844.1723243,REVERSED,2024-01-02,0.0,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5844.1664782,REVERSED,2024-01-02,0.0,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5844.1697587,REVERSED,2024-01-02,0.0,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5844.1751202,APPROVED,2024-01-02,55.25,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5844.1600921,APPROVED,2024-01-02,51.25,1.5,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5844.1718991,APPROVED,2024-01-02,0.0,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Blinkist,10732.5844.675118,APPROVED,2024-01-01,0.0,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5844.1756129,APPROVED,2024-01-02,123.31,0.53,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5844.1701797,APPROVED,2024-01-02,35.9,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,M.9383.5844.1660152,APPROVED,2024-01-02,142.37,0.91,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5844.1746248,APPROVED,2024-01-02,137.01,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5844.1706287,APPROVED,2024-01-02,5.58,0.17,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5844.1644938,REVERSED,2024-01-02,0.0,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5844.1648801,APPROVED,2024-01-02,72.37,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5844.1731492,APPROVED,2024-01-02,18.2,0.4,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,NordVPN,7452.5844.982722,APPROVED,2024-01-01,80.73,32.29,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5844.1637972,APPROVED,2024-01-02,39.5,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5844.1697041,APPROVED,2024-01-02,106.79,0.26,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,NordVPN,7452.5844.1001318,APPROVED,2024-01-01,80.73,32.29,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5844.1774880,APPROVED,2024-01-02,4.97,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5844.1774088,APPROVED,2024-01-02,79.54,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5844.1672913,APPROVED,2024-01-02,90.38,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5844.1775205,REVERSED,2024-01-02,0.0,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5844.1731835,APPROVED,2024-01-02,134.35,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,NordVPN,7452.5844.1101209,APPROVED,2024-01-01,80.73,32.29,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5844.1798531,APPROVED,2024-01-02,172.86,0.63,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5844.1613820,APPROVED,2024-01-02,80.93,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5844.1619687,APPROVED,2024-01-02,90.28,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5844.1693606,APPROVED,2024-01-02,538.08,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,M.9383.5845.1910369,APPROVED,2024-01-03,43.88,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5845.1960236,APPROVED,2024-01-03,46.27,0.6,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,NordVPN,7452.5845.30102,APPROVED,2024-01-02,80.73,32.29,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,DHgate,12108.5845.2004577,APPROVED,2024-01-03,17.2,0.69,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,DHgate,12108.5845.2004765,APPROVED,2024-01-03,36.2,1.44,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,DHgate,12108.5845.2001636,REVERSED,2024-01-03,23.48,0.94,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,DHgate,12108.5845.1851879,APPROVED,2024-01-03,19.9,0.8,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,DHgate,12108.5845.2001609,APPROVED,2024-01-03,34.6,1.38,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,DHgate,12108.5845.2001555,APPROVED,2024-01-03,50.7,2.03,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5845.1746818,APPROVED,2024-01-03,54.11,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5845.1837357,REVERSED,2024-01-03,0.0,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5845.1812758,APPROVED,2024-01-03,196.99,0.22,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5845.1751998,APPROVED,2024-01-03,20.37,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5845.1749361,APPROVED,2024-01-03,78.71,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5845.1834810,REVERSED,2024-01-03,19.48,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5845.1937527,APPROVED,2024-01-03,5.78,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,DHgate,12108.5845.2001939,APPROVED,2024-01-03,294.0,5.88,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5845.1871893,APPROVED,2024-01-03,83.36,0.04,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,M.9383.5845.1848375,APPROVED,2024-01-03,80.48,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5845.1890176,APPROVED,2024-01-03,61.6,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5845.1944138,APPROVED,2024-01-03,176.82,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5845.1869923,APPROVED,2024-01-03,19.86,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5845.1966335,APPROVED,2024-01-03,3.24,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5845.1878719,APPROVED,2024-01-03,259.99,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5845.1799836,APPROVED,2024-01-03,56.97,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5845.1984134,APPROVED,2024-01-03,147.01,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5845.1875497,APPROVED,2024-01-03,98.01,0.06,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5845.1950640,APPROVED,2024-01-03,40.16,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5845.1872155,APPROVED,2024-01-03,154.36,0.05,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5845.1783529,APPROVED,2024-01-03,53.94,1.62,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,NordVPN,7452.5845.740486,APPROVED,2024-01-02,12.99,5.2,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5845.1889387,APPROVED,2024-01-03,48.62,0.07,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5845.1757935,APPROVED,2024-01-03,49.99,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5845.1750818,APPROVED,2024-01-03,3.47,0.1,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5845.1810383,APPROVED,2024-01-03,17.98,0.54,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5845.1959928,REVERSED,2024-01-03,25.84,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,NordVPN,7452.5845.786518,APPROVED,2024-01-02,80.73,32.29,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5845.1864362,APPROVED,2024-01-03,118.68,0.51,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5845.1840060,APPROVED,2024-01-03,65.33,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5845.1877734,APPROVED,2024-01-03,2.35,0.07,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5845.1891457,APPROVED,2024-01-03,62.09,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,M.9383.5845.1996575,APPROVED,2024-01-03,102.28,0.36,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5845.1947261,REVERSED,2024-01-03,0.0,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5845.1979688,APPROVED,2024-01-03,299.99,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5845.1768782,APPROVED,2024-01-03,25.0,0.25,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5845.1857327,APPROVED,2024-01-03,62.64,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5845.1805506,APPROVED,2024-01-03,65.09,0.31,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5845.1851288,APPROVED,2024-01-03,189.0,1.89,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5845.1907546,APPROVED,2024-01-03,198.8,0.16,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5845.1827386,APPROVED,2024-01-03,85.59,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,M.9383.5846.1919090,APPROVED,2024-01-04,28.68,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,M.9383.5846.1769235,APPROVED,2024-01-04,27.21,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5846.1847158,APPROVED,2024-01-04,357.01,2.48,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,NordVPN,7452.5846.119893,REVERSED,2024-01-03,14.21,5.68,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5846.1948017,APPROVED,2024-01-04,189.0,1.89,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5846.1796981,APPROVED,2024-01-04,122.82,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,NordVPN,7452.5846.208576,REVERSED,2024-01-03,14.21,5.68,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,NordVPN,7452.5846.229891,APPROVED,2024-01-03,76.43,30.57,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5846.1850725,APPROVED,2024-01-04,38.12,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5846.1833152,APPROVED,2024-01-04,196.84,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,M.9383.5846.1965337,APPROVED,2024-01-04,83.47,0.19,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,M.9383.5846.1790530,APPROVED,2024-01-04,38.85,1.01,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5846.1733525,APPROVED,2024-01-04,66.03,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5846.1885242,APPROVED,2024-01-04,59.58,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5846.1913872,APPROVED,2024-01-04,6.48,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5846.1953018,APPROVED,2024-01-04,54.78,0.23,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5846.1799027,APPROVED,2024-01-04,319.95,3.2,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5846.1895173,REVERSED,2024-01-04,0.0,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5846.1733749,APPROVED,2024-01-04,61.86,1.86,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5846.1974317,APPROVED,2024-01-04,11.48,0.34,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,M.9383.5846.1872543,APPROVED,2024-01-04,69.11,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5846.1961359,APPROVED,2024-01-04,84.9,0.85,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,InVideo,12258.5846.932814,APPROVED,2024-01-03,0.0,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,DHgate,12108.5846.2005761,APPROVED,2024-01-04,95.2,3.81,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5846.1843296,APPROVED,2024-01-04,27.99,0.28,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5846.1784840,APPROVED,2024-01-04,31.09,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5846.1856123,APPROVED,2024-01-04,17.99,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5846.1905176,APPROVED,2024-01-04,35.52,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5846.1871594,REVERSED,2024-01-04,63.02,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Bubble,15270.5846.1180513,APPROVED,2024-01-03,0.0,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5846.1964607,APPROVED,2024-01-04,9.44,0.1,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5846.1908565,APPROVED,2024-01-04,99.95,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5846.1891426,APPROVED,2024-01-04,2268.0,22.68,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5846.1899103,APPROVED,2024-01-04,2268.0,22.68,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5846.1995070,REVERSED,2024-01-04,0.0,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,M.9383.5846.1995569,APPROVED,2024-01-04,35.85,0.0,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5846.1930139,APPROVED,2024-01-04,30.65,0.22,USD,gmg,Impact,agoyal@flipshope.com
Technosense Media Private Limited,Walmart Affiliate Program,9383.5847.1977980,APPROVED,2024-01-05,75.02,0.14,USD,gmg,Impact,agoyal@flipshope.com
